WARNING  : Скважина 21684а/1 (id - 6188) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14823/1 (id - 83391) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32721/1 (id - 6674) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20531/1 (id - 81888) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 16302/1 (id - 82951) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21224/1 (id - 6600) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10892/1 (id - 48172) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32428/1 (id - 83345) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32669/1 (id - 74097) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20964/1 (id - 6159) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21620/1 (id - 82970) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 5595д/1 (id - 84392) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10817/1 (id - 69714) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14706/1 (id - 84254) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32674/1 (id - 6530) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 1207а/1 (id - 57851) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32670/1 (id - 75114) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10751д/1 (id - 82135) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 17485/1 (id - 82360) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21049/1 (id - 74278) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 29514/1 (id - 82096) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10837/1 (id - 60048) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32826/1 (id - 6143) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32308/1 (id - 53340) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 2382д/1 (id - 57121) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 20157/1 (id - 6563) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 16541/1 (id - 53020) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 9508/1 (id - 75268) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 46д/1 (id - 61644) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10834а/1 (id - 81238) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32707/1 (id - 67162) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32414/1 (id - 70356) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21182/1 (id - 71109) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20922/1 (id - 6448) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21276/1 (id - 57751) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 15743/2 (id - 82110) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 32728/1 (id - 64643) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 26849/2 (id - 60539) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 21145/1 (id - 6036) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 27487/1 (id - 79109) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20890/1 (id - 58396) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32539/1 (id - 6652) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32671а/1 (id - 84301) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20856/2 (id - 59191) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 20863/1 (id - 56769) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14900/1 (id - 6626) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14783/1 (id - 6580) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 2003д/1 (id - 6461) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14904/1 (id - 6599) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 3154д/1 (id - 89760) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 3141д/1 (id - 73141) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20649/1 (id - 86700) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20444/1 (id - 62087) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10034/1 (id - 6250) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 3098д/1 (id - 6672) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 8016/1 (id - 83216) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32304/1 (id - 62609) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
